Type	Calories	
Beef	186
Beef	181
Beef	176
Beef	149
Beef	184
Beef	190
Beef	158
Beef	139
Beef	175
Beef	148
Beef	152
Beef	111
Beef	141
Beef	153
Beef	190
Beef	157
Beef	131
Beef	149
Beef	135
Beef	132
Meat	173
Meat	191
Meat	182
Meat	190
Meat	172
Meat	147
Meat	146
Meat	139
Meat	175
Meat	136
Meat	179
Meat	153
Meat	107
Meat	195
Meat	135
Meat	140
Meat	138
Poultry	129
Poultry	132
Poultry	102
Poultry	106
Poultry	94
Poultry	102
Poultry	87
Poultry	99
Poultry	107
Poultry	113
Poultry	135
Poultry	142
Poultry	86
Poultry	143
Poultry	152
Poultry	146
Poultry	144

